assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.908304bd21051c695c107181,384,OCCUPATION_MENTION,உழவர்,8,18,human_review_required
asrt.b62971ed1e26aee96ecd7e17,384,FLORA_MENTION,நெல்,11,0,human_review_required
asrt.9eca4b0a22d3ebc2bc18b7cc,384,COMMODITY_MENTION,பொன்,11,14,human_review_required
asrt.8c020d430e2acde884b399c6,387,MOUNTAIN_OR_HILL_MENTION,குன்று,22,0,human_review_required
asrt.5992af9c9628e80dd54b1aec,388,RULER_MENTION,சிறுகுடி கிழான் பண்ணன்,4,0,human_review_required
asrt.9ba128938e2f710b93fc8cdd,388,FAUNA_MENTION,யானை,15,7,human_review_required
asrt.a4e7c621351f27af4bad3d6d,390,FLORA_MENTION,வேங்கை,21,8,human_review_required
asrt.26c9be193684adc64a7ad70d,390,FAUNA_MENTION,யானை,28,7,human_review_required
asrt.c41eecdca0a366b2cf8a5e26,394,KINSHIP_MENTION,தந்தை,8,29,human_review_required
asrt.9cf80666c3079125d4fb00c8,394,GIFT_MENTION,பரிசில்,17,11,human_review_required
asrt.5b192903db160f7a4012e49b,395,OCCUPATION_MENTION,உழவர்,1,18,human_review_required
asrt.50421a973eb24b548e3e02a4,396,FAUNA_MENTION,மீன்,1,12,human_review_required
asrt.9943f888bba8a18f6ba55cb7,396,FAUNA_MENTION,மீன்,26,13,human_review_required
asrt.4deb71be85633ec971731f2a,398,COMMUNITY_MENTION,பாணர்,4,23,human_review_required
asrt.73663f17a8b7e56a0e08b4ae,399,COMMUNITY_MENTION,மறவர்,19,14,human_review_required
asrt.7a8baf8a890625d38ee600f7,400,WATER_BODY_MENTION,கடல்,3,0,human_review_required
asrt.431fde0abc9b79c79a92232c,400,COMMUNITY_MENTION,மறவர்,18,0,human_review_required
